4 300
aca acaccab abrkadabrakalajamaaabbbaac cbcbcaca
abrkadabrakalajamacab acb aac cbcabb
abrkadabrakalajamabaaabba ccccbbac bababbc aaa
abrkadabrakalajamabab ababc ccabbb bbc
abrkadabrakalajamaabbacab caacaca acbcbaac ababbab
aaacacca cbac abrkadabrakalajamababa cbcc
bccc abrkadabrakalajamaaca acc ccb
acbbbba abrkadabrakalajamaaaa ba aaa
ccbbbc abrkadabrakalajamaaaccaaca acbacaca ccbabaaa
baabaccc abrkadabrakalajamacabbabbb ccabc ccccba
abc abrkadabrakalajamabcbcbbcc acba acbcaacb
cbaaac abrkadabrakalajamacaacbcab bbaccbaa cabbb
aaacc abrkadabrakalajamaaacab aabb aba
bbcbcbc abrkadabrakalajamaaabaabc aaccb cbcbac
bc bcb abrkadabrakalajamababc cbab
bacccb ccaaacc abrkadabrakalajamacbbcabb bb
bbcab abbbcaba abrkadabrakalajamaaacabcab aacccccc
abrkadabrakalajamacbbbacc cbcbab aabcb caaaabc
acca cccccc cb abrkadabrakalajamaab
bab abrkadabrakalajamaacaacac baaccbb cabccbbc
abrkadabrakalajamacbbabaa bbcac ba bacacac
baaabba acacbc caa abrkadabrakalajamacaacbac
bcbc abrkadabrakalajamabacbbacb caabcbbc cbcbcb
caababa abrkadabrakalajamabab babacc aca
ccccca aabbaa abrkadabrakalajamabcabaa abacb
bcbcb abrkadabrakalajamaabacb cbb caacb
bac acbbcc abrkadabrakalajamaccc bcc
cbaacabb abrkadabrakalajamacb cc aaba
abccaa aaacb aaacca abrkadabrakalajamaaabcbc
caaaaba aaccb abrkadabrakalajamaacccacc bbbb
accccccc ab abrkadabrakalajamacabbbb aaaabb
cc abbbcbb abrkadabrakalajamacbacbaa babbcb
abba abrkadabrakalajamacbac aaa acac
abrkadabrakalajamabca abb abccabab aca
caa cbabcabb abrkadabrakalajamaaaaababc abcac
accbbac abrkadabrakalajamabcccabb ac bbaabcb
ca acaaaa baccbb abrkadabrakalajamacb
acabaca abrkadabrakalajamaacc bacc baa
abrkadabrakalajamabbb bb cca cabbbbcc
cbba cacac abrkadabrakalajamaccbca aabbcbaa
cab baba aabccba abrkadabrakalajamaabababc
acbbbbbb bbc cbc abrkadabrakalajamabcb
aab abrkadabrakalajamabbc cbbc cca
abrkadabrakalajamacbbac baaa bacac ccbbccba
abrkadabrakalajamaaacca bbbbbab accab abac
cca acbabbab abrkadabrakalajamaaac cbbaab
aacbbb abrkadabrakalajamaba abbc bb
bcbbbc acbcabaa abrkadabrakalajamaabbbbbbb acbca
bcc abac abrkadabrakalajamabbac babb
cbacacca abrkadabrakalajamaccabbcca aababbbc bcb
cbcba baa abrkadabrakalajamacbbcb ca
cab abrkadabrakalajamaaacb accabacb abca
acb abrkadabrakalajamabaca cbcc abbac
abrkadabrakalajamaaa cb cac aabcccc
abrkadabrakalajamabcabb cab cabbc ccbbaab
ac cbc abrkadabrakalajamabc ba
aacccaac abrkadabrakalajamabaabcabc bccbbaab abca
abrkadabrakalajamacb cbaababb cba bc
abrkadabrakalajamacaaccacb acccbbcc cccbcb aca
bb abrkadabrakalajamababc bbc bccc
cacb accabc abrkadabrakalajamaccacab bac
abrkadabrakalajamabcab ba bcbc bbbcaba
baab acb abrkadabrakalajamaaba abacab
abrkadabrakalajamaaabab aaabccab bbaab cabbac
ccc caaccc cabcaccc abrkadabrakalajamaccbcbb
aacaaa bca abrkadabrakalajamacbc bcabccc
abrkadabrakalajamaabacab cabcbaac bbbbcb bacb
bbaacc abrkadabrakalajamaaababb bccbbca cacaccab
abrkadabrakalajamaacbcaa caaab bbacab acc
babbbcb ac ccccba abrkadabrakalajamaaabaac
cbccc bcbb abrkadabrakalajamabbabaccb cbccbcab
bac cccbcaac abrkadabrakalajamacba abc
accabb ba acbc abrkadabrakalajamabb
bab aac caa abrkadabrakalajamaaaa
abrkadabrakalajamabbc caca babbbcc bca
caca ccbc baac abrkadabrakalajamabbba
cac abb abrkadabrakalajamabaa acbc
abrkadabrakalajamaabcb bcbabcbc acc acba
abbcbbc bccca abrkadabrakalajamacbbbcab cbbbaba
abc babaccac abrkadabrakalajamaca bc
cabbc abrkadabrakalajamacabcc abaabba bbcbb
abrkadabrakalajamacbcbbb cabbca aac aac
ccbab bcac bacbcccb abrkadabrakalajamabcbabbcb
ccccbacb abrkadabrakalajamabbcbbab cbcbcaa bbc
aa abrkadabrakalajamabc cacb ab
caaa abbabccc cba abrkadabrakalajamaabc
abrkadabrakalajamabaababbb aabaabca bacbba cbca
cbabaaa cbab caaaaca abrkadabrakalajamacabaccb
ccbc cb cb abrkadabrakalajamaab
abrkadabrakalajamabccb ccc cbaa bcacaba
ccca aaa abrkadabrakalajamaaaa bcb
abrkadabrakalajamabbaa ccab cbacbbb bbbbba
ab abrkadabrakalajamaac abcb aca
acbacaa bccc abcaaab abrkadabrakalajamacbbbaca
cc caabbc abrkadabrakalajamabcabbc bccaba
abrkadabrakalajamaacccac abcbba aaca cb
bcaacb acab aabacb abrkadabrakalajamaacacac
bcacbbb bababc abcaacc abrkadabrakalajamabcabbcc
aaabcaaa aa abrkadabrakalajamacbaaaccb bcbcbc
aaa cbbbc abrkadabrakalajamabccba bacbcb
abrkadabrakalajamaaccbacb babab cbbcbab ccaac
cc ccbcbaac bcbbb abrkadabrakalajamacb
cbbbbbbb abrkadabrakalajamabbccaba ccacabc babaaaa
abrkadabrakalajamaacabcbbc ccbacb cbaaccab ab
cbbbab abrkadabrakalajamacab baa cbbac
acbbcc abrkadabrakalajamaabaabab abbaaba aaabcba
bacabaca abrkadabrakalajamaccccbbcb bbcabc abcacbab
bac abrkadabrakalajamaaba cca abbcbb
baa abrkadabrakalajamacbccc bbaabaaa babac
ccbcca bcb aabbab abrkadabrakalajamacacaca
abrkadabrakalajamabcacacca ccbbaa ccbacbba aabcbaaa
aac abrkadabrakalajamabcbaab ab cccabb
cab ac ab abrkadabrakalajamaacb
cacab ccbbbc cccbaaa abrkadabrakalajamabbcbbbc
abba bcbbaba baa abrkadabrakalajamaaca
ca bb abrkadabrakalajamaccbcaabc bcabbaaa
baa abrkadabrakalajamabcccca ccccbb bcbb
caaabacc baabc abrkadabrakalajamaabbaabba acbacb
cbacb abrkadabrakalajamaaaa cab bbaa
acabca abrkadabrakalajamababa aabb baa
cbba abrkadabrakalajamabcbccb babaca ccacaab
bcaccbab abrkadabrakalajamabac ac aaa
acbb cbc abrkadabrakalajamabcb cbabac
bcba baaacb abrkadabrakalajamaabcbac baacbaca
cabcc abrkadabrakalajamabaa ccc bcccaabc
abrkadabrakalajamabcbbcaca babbabc cbcccacc cacbbabb
bccca abrkadabrakalajamaccccb bbaa aa
accabba bacc abrkadabrakalajamababb aabbccc
acaccabc aabacacc aa abrkadabrakalajamaac
abrkadabrakalajamabab ccb bcbbbcb cbb
abrkadabrakalajamabccc acabaa baac cbbccbac
abbcbcaa abaacba ba abrkadabrakalajamacb
cacaccab abaab abrkadabrakalajamabcaacbab ba
abrkadabrakalajamaba bc abaaab cba
abrkadabrakalajamababb caac bcc acccb
acbacbbb abrkadabrakalajamacaaaac cbcccb ab
aaaaacba abrkadabrakalajamacccbabbc ccbb babcbb
cacc bb cccac abrkadabrakalajamaaa
abrkadabrakalajamaccaabcac ccbbbcab acabbbab ab
abrkadabrakalajamaca bbb cbabba cc
abrkadabrakalajamaaacccbab cbaaaaa abbcbbb aabccaac
aabb acacca ccabcbcc abrkadabrakalajamacbaaba
abrkadabrakalajamaabaac aabbb baabbcac aabaacc
ba abrkadabrakalajamacacbcab bababaa cbcb
aacb bcacc abrkadabrakalajamaabca caab
bb caccbbaa bbcbb abrkadabrakalajamaaa
bbc baca abrkadabrakalajamacaccba cbaccc
cca cbcabcb babcbba abrkadabrakalajamacbaaacc
ccc ccccccaa abrkadabrakalajamabab ccac
abrkadabrakalajamaaabcac caccaabc aaac bcacbb
abrkadabrakalajamaccca aaacac cbaa aca
accb aaacba abrkadabrakalajamaaccacb ccaab
cbbcab ccabcaca abrkadabrakalajamabbbaab ccbcaba
bbcbbabc abrkadabrakalajamabcbccccb cbcccbbb ccb
abrkadabrakalajamabbbbacb cbbbbc ccbaaac abacbcb
caa abrkadabrakalajamaba cb cbbbacb
aacbcc abrkadabrakalajamaccaacb bccaaa aacaab
abbacccb abaa abrkadabrakalajamaaabaccbb abcac
bba abrkadabrakalajamaabb ab cb
accaccaa bccac bccbcbba abrkadabrakalajamaabcbbbbc
bacabaac caac abrkadabrakalajamabaaaabc bbcbbbb
abrkadabrakalajamabcb aabba aac aacb
abrkadabrakalajamabaa bcccbabb bab cbacabac
caacccc bcbbbbb bacbabba abrkadabrakalajamaaacbbac
abrkadabrakalajamaabbcc bcc cbcbcbcb aacab
acccacb abbacbaa abrkadabrakalajamaaabc bbcc
abrkadabrakalajamabac aaba bbb babccca
abrkadabrakalajamaabbbaca cccabcac ccbabba aaccb
ac abrkadabrakalajamaabcaccb cabccab cca
abrkadabrakalajamaabccccaa baba bcccccac ccac
babcb acc cbc abrkadabrakalajamacbb
ba aca abrkadabrakalajamabcc bcaacaac
ccbacbac cbcaacac abrkadabrakalajamabbbccbcb abc
cac abrkadabrakalajamacaaaac bc caabbb
baa ca abbacca abrkadabrakalajamabb
aaaa abrkadabrakalajamaacb ccca cac
abrkadabrakalajamacaacb cacaabbc acacaa babbb
ccacbb acccab bab abrkadabrakalajamacbc
abrkadabrakalajamabbccc bb ac bbcac
bbc abrkadabrakalajamabcb bc cbac
abrkadabrakalajamaccaaa caacab cccc bcbcc
ba abrkadabrakalajamaaa cc aaa
bc cacc abrkadabrakalajamaab aaccbabc
abrkadabrakalajamacc bcbccba bc cb
abrkadabrakalajamacabbbaa abbabab bcb cc
baa abaacab bccbaa abrkadabrakalajamaaabbaa
abrkadabrakalajamabaacba bbca babbca ca
babbbccb acbaac abrkadabrakalajamacbbbcb bccbbcab
bbb ccc bab abrkadabrakalajamabaa
bcbc aacbcbaa abrkadabrakalajamabcab aab
abrkadabrakalajamacc bb bbc accabbcb
abbcbaab cab abrkadabrakalajamaaac aab
abcbbaba abrkadabrakalajamaccac acbbab acab
cbccba bbbcacbc abrkadabrakalajamabbabbcca caccb
bbcccbcc abrkadabrakalajamaacb aaaaccba ccc
bb bcaabba acacab abrkadabrakalajamaccacba
babb bccb abrkadabrakalajamabb cb
cacbba caacbcb bcbaba abrkadabrakalajamacbcabac
bbccabba abrkadabrakalajamabaaaccac bcba acacca
cbab accaabbc abrkadabrakalajamaaacbbb cbccca
abrkadabrakalajamababbcbb babcc aacc aacabac
bbccccb ba aabb abrkadabrakalajamacb
abrkadabrakalajamabacbb aac ccbb bbcbb
bcba aacabcc ab abrkadabrakalajamaabba
bcaaacbb bbbb cbbacaa abrkadabrakalajamacaabccc
abrkadabrakalajamaaaa bccaaa acc acacabb
cbaac aa abrkadabrakalajamaaaa cac
abbbabab caac cbaababb abrkadabrakalajamaaccbccbc
abrkadabrakalajamacbcacbab bbcb acabcbba babaaac
abb aabbbab aac abrkadabrakalajamacba
babaccbb cbc abrkadabrakalajamabac cacaaccc
bcaaaa aacac abrkadabrakalajamacc bc
abrkadabrakalajamacbaaa aabbc abbbb ccabaaba
cca cabbc bacacaba abrkadabrakalajamacba
abrkadabrakalajamaaaccccc bcccb bbbaabb aababb
bbcbb abrkadabrakalajamabbacaaa aaabbcb ac
bbabbaac bcabac bbbcb abrkadabrakalajamabbcca
ab abrkadabrakalajamaab acbbb bcbaaaa
abrkadabrakalajamacbcca ac abaacbbc bbbaa
cabcacca abrkadabrakalajamacaacbbaa abcccbcc cacacbba
cacba bcbcccbb ca abrkadabrakalajamaaaaca
cbbccb abaa abrkadabrakalajamaaabbca cabbbbbb
cbc aaaccc abrkadabrakalajamacbb baabccc
abrkadabrakalajamaabcbabb bbaabbaa bcacbab acbaa
abrkadabrakalajamabaaccb bcbc bccacc accbcb
abrkadabrakalajamacc cc ccc cb
abrkadabrakalajamacabbbaac cca cbaabbca cbabbcba
abrkadabrakalajamaabbbbc cabcb abacca ccbccc
bcbab aacbccaa abrkadabrakalajamacbacabcb ccacbc
abrkadabrakalajamaaaca ccba ccaac acca
aaacba abrkadabrakalajamaba ab cccaaa
abrkadabrakalajamaacba cbcabc abba aaaccc
