4 100000
zzzccacbbab bcbbbaba aaaacac caaabca
ccaccac caaabab zzzacccbab bbccc
zzzabbb cb aaba acab
cbcba cbb accbb zzzcca
baba zzzaabb abbc aa
zzzabbca bbaaca abcacc ccaba
zzzcccbcabb cbbaa aabbbbbc ca
aa bccabaca zzzac cbcbaba
aaacb cbb baaccac zzzbaa
zzzacbbaa acbaca cc acabac
cb zzzaaabcaca ca aabbcbca
bc ababbbcb abbbcaaa zzzccabacaa
zzzcaa bab ccb ccabb
abbaa bca zzzaca cbb
bbbbbbbb zzzcabaa baccb cccab
acabbb bbcbbc zzzbbcccb caaaac
cccaccb zzzbbca ccba cc
caabcbca cbb zzzcbbabcba abbaaab
bbaabbbb zzzbbcbabc aacacac bbabba
caaca zzzacbbc bbaca aa
ccabba bbcbccab zzzcbbcbc abbb
aa cc aacba zzzbb
bccaa aacbaa acab zzzbaaacc
bab ccbb cbbaca zzzcab
zzzaabab ccaaba aabca abbac
zzzbbab caaa aab cbb
aacacabc cabbbc zzzac ac
ac accbaaaa zzzbaabb ccabb
cbcabbca cbbbacc ac zzzaacbacc
ca cbaacbca zzzcc cb
aababac zzzcacc aaac bcaa
aa zzzcaaabcac abbabcca cbbbcbab
caaba bacabb zzzcbabaa bba
ccb cbaa cbbcbbbc zzzbcac
bcab zzzbacabaa aaababa bcaacab
cbca baa zzzcba bbcba
zzzcbaba acca ccbacaca ccaac
zzzbaba aacb cbbc cab
acba zzzaba cbb aaa
zzzaab bcaa acccacca aab
ca baaa abaccab zzzbcaa
acccbbc abccac zzzaabbaca cbaacab
acccac zzzccbb ccbcba aaab
zzzaab cabc bcbb caa
caababcc zzzbababaac baacbca bc
zzzbbc acb acc bbabc
ac zzzba bc aca
acbcbca bcabcaa ccaa zzzcbaa
aac zzzabb bcacab cbc
acaa bccaacbb zzzaab ccc
abbaaab abbccaab zzzaa bb
bcb aabcbca abaabcc zzzbba
ccbacb cbcabba zzzcacccc cabaab
ccbbba bbcbbbbb aa zzzacacac
zzzacaacbc cacaa caccbcca baccbcc
ac cbbcbab zzzbbabacb baaaaaab
zzzaaacbabb cbccacbb aaaa abb
cba bac zzzcaa cac
abcc baab bbbb zzzcbca
baa zzzcbb bcac bacccaa
zzzbcabcbab cabbcccb bcabbabb cbb
aababbb accccabb bb zzzbccccab
bab cbcaaca cbcbab zzzcccccc
cbccca cabbbbca bacccbac zzzbbccbbbb
bccbabac zzzabbcac cac caaabb
zzzac bcca cc cbbaacb
aca zzzacc bcaa cbabacba
abaccba cbbbac cababa zzzcbbcbbc
bacabcaa zzzacac cbcaa bbac
cbcacacc abbc ccaabc zzzccbbcaaa
aa babca zzzba aaaac
zzzcb cbcaa bcaca aa
bab abccca zzzabb cabcca
babccccc zzzbaacabba cccacc acabaa
aacaac bc zzzabcbaa abac
zzzaaaa cbc aacbba cabc
accb aaaabcab cbbc zzzcbbc
aabc cbcc zzzcbaabbaa aabcbbcc
zzzcbbcc cbabb cbacc abcbbbab
aaacc bcbc cbcb zzzabbb
babcaaa aaabcaa zzzbcbb acca
zzzcbabc aabaa cabcac abaabba
bbb zzzbab ca accbcba
cbaacb aac zzzacccaaba bccbbbbc
ba ca zzzccbaa cbbcc
zzzaa aacab ca cabaa
cc cab abac zzzca
bba bcba zzzbca abbcccb
bbacaca zzzcaaaca bbaccc acccbccb
abb aa aabbbbcb zzzcac
zzzbcaa ccaab baaa ba
caccac acaa bcbaaa zzzbcbabc
ba cbabcab zzzcbcccbc ccccacc
zzzbc ab cbacabb abbba
babaa abbbabcb ca zzzbb
cb bcca caaca zzzbbac
zzzbaa cca bcbb bb
zzzbcbb ccca bccc cbaac
cbaccb zzzbabba abcab cbc
bb zzzca ab bb
cabba zzzbabbc aaaaaab ab
ccbcaccb ca abbc zzzabbb
bb zzzbaacbbcb aabccaab ccbbaccb
zzzabbbab ba abacab aacacbbb
bacbaac zzzabab bbabccbc babb
caca zzzcbbb bccbcbcb abacbaab
abc cabbaccb zzzabb bca
baabbbaa ccbbca zzzcbccbb caccbaaa
baaab zzzcaaca caabcba cabac
zzzacacccab aaaca cccbcbba bba
bbaabcca abbcabc cbaababa zzzbbbbccca
ab cabbcb ababaacb zzzccabaa
bbacbbba caccaca zzzcbbbcaa abca
accb cabab ccb zzzccb
abca ba bbcbc zzzbabcb
bccb acbba zzzcbaab bbccab
bcccc zzzcc cb bbabcacb
bacbac aabcbc bba zzzaacbba
bcbaabcc baa bbab zzzaacb
zzzbbcacca ccb bccabcc ccbc
aa abccc aab zzzcc
cbccb abbabc bc zzzbabbaa
cacb cba zzzbac acbcbaac
abbc bacacaa bac zzzaaac
aabcbc abcbccac zzzbaaccc abcbbcc
zzzbbbbcaca bccba cbacc aaccabbb
abcbab abbb acbcbcba zzzabaacccc
ababacbb zzzcbacccac ccba cbaccbcb
bbbaa bb cc zzzca
cbc zzzcbb bac bac
acbcb zzzcaacc acba bcbb
zzzcacaca bccba aa bcccbc
cca abaaac caaba zzzbac
ccabba aa bbca zzzabbc
zzzbabac bba acaba cacaa
baa aacaa cbcaaccc zzzbbcba
ccabac zzzccbcbaca abaaccbb acbaba
cacb abaa bbbcbbaa zzzaaca
zzzbbba acbabb ac bacc
ba bbacba zzzaacabc bc
zzzbbbcb accba bcacbca ccaaacab
ccabbc aacaccb zzzcabcb bcccc
bc baca bac zzzaca
baaa bacbcaac bca zzzcba
acbacabc bcbbcaab ca zzzbb
ab bccbc acccbba zzzcaacbba
zzzcbbbccaa ab abbacbca ca
bbbcccac zzzbcabaaaa aac bbcbcbc
caa ab babccc zzzacb
bacbcca cbb bcaaaca zzzbcc
zzzcbabbb bcbbbccc bbbcc acbccc
cabaa zzzacbb bbacbb acac
ba baba cacbaaba zzzcccbabba
bbaaba accbbbb cbc zzzaaccbbb
bbbbbcbc zzzcbacba ccaccc bccbcaba
bcacabb zzzcac cbcb ccb
bcbacac ccbab caacabaa zzzaccab
bcca cbbcb cba zzzabaaa
zzzcbb ac bbbcbccc aac
cbbaccba zzzbaaabaca aabbbacc cbaaa
abcca zzzbbcba bcacca cabac
zzzaaccbbc abcbcb cacb acacbac
ccbcb zzzbbaaaabc baab bbaccabc
zzzabab bbca ab bcac
bbaacab bca zzzabbbbac bcabc
accabc zzzbccbac ba abcccba
bbcaab zzzcbc bcbbccc cbb
zzzcccc caac aca ccbca
zzzbcbcac bcbcab ccc bccbbbc
zzzccca baaa caba abbb
bbaabbba cbacaaaa zzzaababcba baba
cbacac ba zzzab ac
ccb cacccb zzzaca bca
ba bcbb bb zzzbcaa
abbbabcb bab ac zzzbbabaaab
bcbcca zzzaabc cbcc bcbbcb
bb acbaa ca zzzbc
ccccc aabbb zzzcacba ccacabca
cbab ac babbaac zzzacac
aacac bcaaabb zzzcbcabca babaaac
baaa abcccacb cabab zzzccac
zzzcbcca acaa abaac caaacca
acbab ab zzzcbcba bbcab
bacaaabc ab zzzba aa
cccacabb aabb zzzacbacaca bb
bbbcba cbc cbcc zzzbcc
zzzcabaca bbb bbaacbc aaabca
cbb caaca zzzacbcbcb cbacbab
aacbc bcaaa bbcc zzzbcaa
acabab zzzaab aca cca
cbcaabac ccbaacab bbbccc zzzcbccab
bbabb zzzacaba baaab acbaa
bccaaa ccbca aac zzzbacaba
zzzabbccb baabab ba acccaa
zzzcaacca bcaccba ab bccacc
cb bcabc cabcc zzzcb
bc aacc cacbac zzzbbcc
acb cacb zzzaaacbab bccbbaa
cbaccbac zzzcbbccccc ba acbccaa
bccaccb zzzcccbcca acbacaaa ac
ccb zzzbbbaba caba aacaba
cab zzzcb ccb aa
ccab cbbabb zzzcabc cacbcaa
acbcab zzzcbaacbca ccac bbcbbaac
zzzbbcaaca accabac ba bacbb
bcb ccaa zzzaacb ac
caccca bac zzzaac abab
zzzbbcacbaa accacabc abaacbba abcbcaa
zzzabca cb accb aaaa
cbbbcc zzzaaca cbbbb acab
bbcbba cbacba cac zzzbccbcc
cacaacac zzzaabbc ccc bcbac
cbccbac abccab zzzcccaaa ba
zzzaaa acaaabaa acaaa baa
aaaaaa aba zzzcaa bab
cbacbcb ca aabbbab zzzabababc
bcaccc cb cbcc zzzabcacb
zzzbabaacbb bbbcbbac bb acbbbbca
baabacc aab cb zzzccaabbc
cbbcacbc zzzcbacb caccb bbccaba
cb aaab cac zzzbac
bcc baa zzzccb cccacb
zzzaacabcab cbcaaabc cabcaccc caabbc
bccaac aaccbcbb aacb zzzaabaaabc
baab bbbbc zzzbbacca aaaaca
ccca zzzabbcb aaccbc bcbca
ccabaa zzzbcacb ccbca bbac
aabaac bacbabbc baaacaa zzzacaaab
baacc baabab zzzcabaa abcc
accacc zzzabcaca ab babacc
bb zzzaa cc aabcaaaa
aaccb bccccaac bbbaba zzzacbbba
acacaaac ba bbca zzzcaaaaabc
baabaaaa aaa cbabcacb zzzcccccbac
zzzaccb aaac cbb cabaa
bca zzzccac caccaaaa bbbc
bacc ccbb bc zzzbcab
zzzaccbacbb accbb bbcbacc babcacac
bbbbcb bbc zzzaca abb
aac acac cabbc zzzcacba
bbccabb zzzcbcc accb accb
ba aa zzzac cc
bca abbba zzzccb bcabbcca
zzzacaa bca cabc cbcc
zzzccbbc bcacb abc cbccbbc
zzzccbaabaa bc acbbcbab bacba
caaabcb aacccbcc zzzbabcbc baacab
zzzaba cccaacba bab ccc
zzzbabbc bbbb cbaaa babcca
acacbb cbcacb zzzbcabca bca
cbb zzzaba abcc cbccb
cbab aba bcbac zzzcacb
caaaca cbbbacaa zzzcccbab bcccbccc
zzzcbccabc cba aaccbc abccbca
cbcca bcc zzzbbcbbca babccac
aaaac zzzabcbbb aabcca cbaa
bbbacba cc zzzba ac
bca zzzaccabbcb bbacacab ccaca
abcbb zzzaa cc bbacba
aaacb aa zzzbabbc cccca
caabbbca zzzaab ccccb bbb
aa zzzbb ac caac
bcabbc zzzcbacc bbbabc cbbab
bbba zzzbacac aaba ccacc
accabccc zzzbaaaacca baababc abaa
bba cbcc zzzccccccb ccbcbcc
aaacbba cbbba zzzbcacccb cbabcaa
bb bbbaccca bccaab zzzbc
zzzaccc baacbba ccca cbaa
cbcccb accaa zzzbccccab bacccac
abcc zzzabbcbcbb abcbbbbc acaacac
cabaaa ccbbbaa baac zzzaabaaa
zzzaaccab cba aabbbc ccbc
zzzcaab cbbc bbbbc cbabcaba
aaccbaab ccb cbba zzzaac
accc zzzcaaa bacac aabba
ccacacb ccac abbcc zzzaaaaa
aa ccc abbbbbba zzzcab
zzzab ba acabcb caca
ccc bccbcbc zzzbcb ca
bbaa zzzbacaca bacccc baaaab
bc acab caa zzzccb
zzzbbcc cabc aaacbccc cca
bccab ccc zzzacabb abacc
abcacab bc zzzcccaaba acaabba
zzzacccbc bb cabcba bbacba
bab ccbbcca babcbac zzzacbabcb
ccbacac caaababb zzzccbbbbcb ccbac
ccabca zzzcbacbcb bbcaccca acbabab
bacb aacca zzzacbab cacaaca
bba bbac zzzcbc baa
ccccbb aaac zzzabca acaaab
bcbcbb baab zzzbcbbaa acbabaa
ac zzzca bcc bbabcac
zzzbccc cbab acacbacc acba
ccab ccbccc zzzcaaaab aaaa
aa bccaab bcaabbaa zzzcc
bbbcacc cacc cbcbcbcc zzzbbbacba
zzzaacba bcacc aaaab aaababa
bc zzzcbacb bbabac acbbb
ca zzzccc cccbcba bcb
zzzbabaaa bcabaa bbcc cbcaab
baa abaa cbbbabab zzzbcccbcba
bbaa zzzcaba cbba cbabc
ca bccbcba aac zzzbababab
cacbcacc zzzabb acc bbaaccaa
cacca bbccbabc zzzbbaaaca abaabaa
zzzbcbca bacaba bbcac bccbaba
cabbbcba caacbabb acaaacb zzzbcbcacca
ccb zzzaab acbabbaa aabbcc
bbacbcca ccacbc cccbbcc zzzbcacacb
ccbbcbaa cb zzzbaacaacb caaabbac
zzzbcb aab cbaacccc bbb
bb ca zzzcb ababbaba
zzzbc cca ac baabbccb
zzzac aacbbb cc cabacccc
aacbbba zzzcbbacca abb acabaaa
bac baaaa zzzccbab aacb
bcbb abbc ac zzzcbbc
cc aa acbbbacc zzzbc
ba cbb bccc zzzcbbb
acabb bbc ccbc zzzbcb
bacbcb zzzcacbaa aabb bbccaa
cbbc bbcccba bbcabaa zzzaaabaac
cab abcaa zzzbc ba
abcab cc zzzba cbba
zzzbbcbbb cbba ababa aabbbc
bbbcb zzzabba bcac aab
bb zzzaabcbbc cbccaab aacb
abbb bcccbaac cb zzzba
aacbc zzzac cc ccabaa
caba cccbcca zzzbcaabab bcaabca
zzzcabaab aba aaaa cacaca
cc ccbcaca zzzbccbaab ccbc
caaabcac bcbaabca zzzbbaabccb ab
zzzccbb cabbacba abac ab
bcabbbcc bb zzzcc bc
aa cc zzzccbaac bbccba
abbbabab cca ca zzzab
bccbb baa abcc zzzccca
ccabba bbbbbcc zzzba bb
zzzcbccbaaa bbcb bcbccccb cabaabac
zzzacb cba acbbbcbc aacbbbcc
bccab zzzacc bbccc aca
bbbcaac cacbabca zzzabbacbac bcabc
ccccbbab bab zzzbac bbbccaba
cba ccbbcbc zzzcabcbba abcaacca
bca bccbaaa baa zzzabbbcac
cbaba zzzccbbc accbbba bbaba
zzzcbbbccbb acaabcab bbcb bcbb
cabacb aacbcac zzzbab aab
accbc aaaa bccc zzzaccaa
abbabaac aaabcccb cbabbcb zzzccaabcbb
bc bacba zzzbab cbc
cacac accc zzzaccab ba
bba zzzcc bacbabbb ac
aac bb zzzcbaba bacbc
zzzcba ccac aba babbb
ccc ccacaa bbcac zzzbcc
zzzccaabbba bbbcbab bba bbcacbac
zzzbbacc aaa aaaaa acc
zzzacbbc acbca bcbc bcc
cbc zzzcc bb bbacc
aa baac zzzbccc aac
bbbb baba aa zzzcccc
bbca baabbab cbcabcba zzzaabbaaa
cacbcb aaaac bc zzzbaaabb
zzzccc acbccbc cbc abacaccb
abbbc aacbccb zzzbabab acccbac
baba aa bbccacb zzzaaaa
zzzaaacbaa cbbaaaa ccbccaaa abcaccbb
babca zzzbcacab babbac babc
bcab ba zzzbbac cca
baccccac aa ccc zzzabaaabbb
zzzcaabaacb cacaccaa bc acbaa
aaccb bcbbaca zzzbccaa cca
zzzbaaabcc cbaa accaabb cc
zzzcb abbcc bb ac
acacbc zzzcbbb bbbb baabbc
baccbcb abbc zzzacaca aabcb
zzzbababc aabba bbaac bacbac
zzzbbacbc cbb bbb bcaccb
aca bacbabb zzzbaa cba
abbabbb aababaac ac zzzcaaaacbb
zzzcacabc aacac acacaa ca
aabcbbbb cb zzzaa abc
cc zzzcbacabca caabbbcc cbacacac
bccabcbc bccbcc zzzcbbcbcca abcaca
zzzcccbbcb baca cacbbba cca
aaaaa zzzababb bbac aacbaa
cbb zzzccb abbcbba acbcc
bb accaacac zzzba ababab
cab zzzbab caabaaa bb
zzzca cbb cab cb
zzzbcacbbac cababaa caacbcca ccaaa
abcb abcabbcb zzzcbbcaaab caccbaab
zzzabbabc bacabc ac acaaaa
zzzba ca cc bacbccb
ccccccaa zzzcccc aaccbcca baaa
aaacbcc bb cacccc zzzbbcbca
ccbbca acbcccbb zzzabbaacaa aba
babcbcb zzzca cccbacb cc
abcacab bccabc zzzacacaca acbbbb
cccbb aba zzzcacaa bb
zzzaccccacc bbc abaa bcaccbac
bacaca ccaabca bc zzzbcaacab
cc zzzacabbac bacabcba accccca
bcab zzzaaba ac baabcba
aaca bbacaba aaacbba zzzbcccbaa
zzzbbba acac aacc bcabba
acaacb aacbaaba zzzcbbcba bc
zzzcbcbaac cbcaba cbaaaba ba
bacc zzzabbcb bccbb ccb
aabcbc zzzab bbccac aa
bc zzzabcccb acb bccccb
zzzcabbca aa ca bcabbb
ab zzzbabaac abcaab cbbbbaac
ac bcbbb zzzac caacbab
baa zzzcccc ccba bbcbbab
zzzac bcbaccba ab ccaabbaa
zzzbb ca bacb bc
cbca ccaca cc zzzbccb
zzzaaccc cb cbccc caabc
zzzcaba cab cbcb abcab
ccaaa acbbbca zzzabaccab bbccaacc
zzzbaacaba bbacbcc cabbaaa cccaaa
ccba bcba zzzabaacabb bbcbbbca
acaca acbbac zzzbacab aba
zzzca cc cbaacaa caba
zzzabcbcab cccaacb abcab ab
zzzbabbbb bbbaab ccbbca cc
zzzaccbcba cbbbaaa ca bacbcc
zzzacacbbca cbc aabcabab aaaabcba
bbabca ac aa zzzbc
aaacabb acbaaacc caaba zzzaaabbbbc
bc baaaa zzzbb aaabc
zzzcc ba cb bc
cbcccc bba caaaab zzzacbcca
zzzcaabc ac aaabccc cabab
caabcaba aaaccac abba zzzcacc
zzzcbbaccb baaca bcbacca acbba
zzzacca caaca bccc bac
ca bccac zzzaaccccc acaabbc
cabcbbab accbc zzzaabbb abaabc
cbcbbc ccacbbac bac zzzacbbbcac
zzzbbabcac bc accbabc ac
cbaca baaaac zzzccbba aaacab
cbac zzzcaab ccbcc aaccbb
zzzbaaccacb aacabaac baaca ccbbcba
cabac baccbbaa aaabacc zzzbaacabc
cbbcbaa aaac cabccc zzzcabb
ccaaaac cccbb zzzacbbaacc bcacbacc
bccacc acac zzzcbbbbb abbcaabb
zzzacaba bba ccaba cabab
cbbc bbccccb zzzacaabcb bcb
zzzccbcbc ccbbcb aaaca bbbb
bbccacc ac ba zzzba
acabcbc cacababa bbbcbaa zzzbaccaca
zzzbaabcbac cacbacc cbbcba ccaaccaa
bccabcab cca zzzbba ccacccab
bab abcbcca abb zzzabb
cbccbaa caabccab zzzcbcabaa caacbc
cbcaab bacaacbc zzzbaaba acccb
bcac acca ccabcb zzzbcac
bcbccaaa zzzcb ac acacbc
cb bcabbcb acbccaba zzzca
cccca zzzccc cb abc
ccbcaca bcc zzzcac baa
accbc zzzccccb aab bcb
ccb bca aa zzzba
zzzbacacc accb bcbccc ab
ccbc cacccac ac zzzbcba
ccbacb bbabcca zzzbcbb baca
cbaaabca babbc zzzbbaba cba
aaaaa ac zzzca aca
abbca ac caab zzzbb
cbca bcbb acabcc zzzcabbcc
cbbbcb zzzbbaacc babacccb ca
acabbc bcbc zzzabab aacb
bb ac zzzccacba accaca
bb ccbbbbb ccc zzzacc
caa bcbbccbb cca zzzcccbcccb
cbc bcbab abbaba zzzaaccb
acbacb aaaac zzzcbaaabb ccccacc
bccbba ca cbaacaac zzzbbcbbcba
zzzbab caaabcb bac ba
acbcb zzzccc bab bc
ccaa aac zzzcaac bcaaaca
acbbccab cc cccaa zzzba
zzzaabc cccc bcbc bcaa
bbbccc cbcabc aca zzzabb
acacab bccca abaac zzzacabb
cac abbaab abbcbacc zzzacc
cbba zzzaacaa abcbb acc
cbabab bac abaabb zzzbababb
ccbcaa zzzcbabca abacbb bbbcca
babc zzzcccb aacca accb
cb cbabacaa baabb zzzcccbc
aaaabbbc aacb zzzabcbcbbc ccbbb
zzzaccbbc bcbaaa ccbbbca bcaabcb
bbabac zzzbacaab bba baaacbbb
zzzbcbacc acbcccb ab cbbaca
zzzbba cbb accaacca cc
cbb zzzccbabb bbbcbc bcaaabc
zzzcabcccac aaccccbb acacacb bcacccac
ba zzzabca bacb acbcbaca
ccbbba bcabcbb accabc zzzbcaaaa
bcaabc bac zzzcabbca bbcba
bacaa accbcbb zzzabac baba
zzzacaabb ccbccbaa caa acbaab
cbbcba baaab bacca zzzcbbba
zzzcb cacaab cb ccccba
zzzccbbcbba bbacbc aaabc bcacacac
ccaac bbbaabbb babab zzzabcbcbab
zzzcbcbcab ca ba accbacc
zzzbbcaac aab accb bbaacb
bbaaa zzzcaacac babbab cbbaac
ccb zzzacbabcc bcbbbaa bbbcbb
zzzaabac bb cbac bccbb
cbbc zzzccbb cbbbaba abba
zzzbabb bbba acabb bbbccb
zzzacbab cc bcbca aaabc
bac zzzbbabbbaa bb cbbacaca
ac bc zzzbcba baca
zzzcab abcacccc bac ca
accbb ccabc ccb zzzcbcba
cbcacca zzzacabbccc bbbbcacb aacc
aab cbccbabc bac zzzabcabcaa
bcbb ac aacccc zzzaa
cc ca cacaa zzzac
acba bbb cc zzzccbc
zzzcbaac aabac cbbc cabcbcab
bbbccbbc cab bccaab zzzccacbc
caa zzzaab bcac aaacbcbc
caccaaaa accaabc abacc zzzbcacb
zzzbca bca baaa cab
caccb bcbb ccb zzzcabcc
ccab cbaaac zzzbcac bbbcccbb
zzzbcca aaba ac cacc
cbbcbba bcab bcccaaac zzzcbabcba
cbccc baaaa ac zzzaccbb
bbbbc bbbca zzzbbabc bbc
caabb ababc zzzab ca
cacaa zzzbaabc cacb ac
bacaaaca zzzbacacbca aabbcbb aaa
baacba abab zzzbcac bccc
zzzaaca cbba acaac acba
cacbbb zzzbbbcac bacbbaa cccaba
aabccccb aaacabc zzzbaabaaba bc
cac zzzaba cbac cccabaa
zzzacaba cccbaba aaccaaaa ccabb
cccaab zzzbaabbbca bbaaccba abbcb
acca zzzbabcabb bb cbbbaaa
zzzbaabcaa caabbbbc aaabbcbc ccccbac
bcc zzzcbb aaccabcb bab
bc ab cc zzzcc
caccbacb zzzabbbcbbb ccccbaaa cbbbbb
ccabc cbbcb baabbbc zzzacbbacc
zzzbacbbb ccacaa bca caab
zzzbaabbb bbbacb aaccbc accaaa
bcb abb zzzcca ccaaba
baabbcb bcacac acbb zzzacacacc
zzzcbbab bcaaa bcc aac
zzzaaccabab bbacacab ccaba cccbc
aaacccba babb zzzbaac cc
aac zzzaca cbcaa babcbcc
bccbc cacbb zzzabccb abab
cbaaabcb cb zzzbbcbcbca cbacabbc
zzzbbcc accc cabcbc aacb
caabbc bc zzzac bbac
cabbc zzzbababab acabbbb acaacb
zzzbac bc cccab bab
aba bbbcab zzzbcbbacca accbccba
zzzba bb bb cbca
cbba zzzabbaac acbacc cbbcccbb
aabca bbcbbc aaa zzzbcaaa
bacbaca ac bbbcbbba zzzacacbcb
ccbacabb bbbaa zzzbbcbcbaa abbba
cbcabbba cbcbbbc babab zzzcccaabbc
bbcba bcbccbaa cacbcca zzzbbabbaba
cbbca zzzcbcbb bacca ccbbbaab
ca zzzccc cba aaba
zzzccabcb cabbbb acbbab ccaa
accc zzzcbabbaa bacccca cccaccb
ccaca bbaaa baccbcc zzzaaabc
zzzcbaa acaabba cbac aa
ccccb zzzcaabab babcbb aab
cabaabbb aabbcaab aabcb zzzcbcbbcbc
ac zzzcbcabaa caab aaacabc
ca bcca zzzbbcc bcab
ababacca zzzccac bcca cccaaa
aabbaac zzzaaab baaa acabb
abbacba bcbbcbb zzzbacacbb bb
accaaca cbca bcaccbcc zzzaccc
acaa bcacbb zzzcabbba cccbcb
ba zzzbb bccacbb acaacac
zzzcccca accbc baaa caabaaac
acacb cbccabc zzzbaaab ca
acaa cacca bbaccacb zzzccacc
bccaabcb baccbcc aacbcccc zzzaabaacbc
bacbbc abacba bbbcc zzzaacaab
babcabb zzzcbc acb aac
baaa zzzcaca bbacbba abcb
zzzacbcc caaaa bcacb aaac
cabca aa zzzbccb baaa
abcaacb zzzabb abaca ccc
bbcaacac ccc ccaa zzzbcac
ca zzzacacaa abcbab baaacb
bba abbcba zzzcab bac
zzzaaacb acb ababc bbaaa
cbcabaaa bbcb abbcc zzzabbbc
babaa cba zzzaccac cacc
abc zzzbbb bcabcaca bb
zzzabaacb aabbcc bcc bcb
abbabacc cc zzzbbbabbab acabca
cbacb zzzaccacca aacaccaa cbbaabc
aabbbcc cbc bcbabcba zzzbccaaaca
cabb zzzcbab bbcb abaccbbb
bb zzzac bcbcacba aacaabbb
baccbb zzzcbcaab acc accab
acaaa zzzccacbca cbabbcc aaa
cabbcac zzzbbb acb bbaa
abccbbcc babccab zzzbacbacc acaacccc
abba zzzbb bababbca cc
bb zzzbc bba baacab
bababbac zzzabb caa babab
abccc zzzcccba bba ccccacba
bbcc cbacccbc zzzacca cbcacaba
cccccb zzzbbacab babbaab cb
cbcaacba caccac bcccaa zzzabbbcb
cbbc bcaa zzzcaac babbaa
aca bacb zzzccab bbc
zzzcaababaa baabcbac cccaaca abbab
